FSL Program Structure,,,,,,,,,Required AI Outputs [Phase 1],,,Required AI Outputs [Phase 2]	
Week ,Kaushal Bodh Questions Integrated,Sub-Pillar Anchoring ,Competencies ,LL : Competencies ,MM Competencies,HS Competencies,Session Description ,Period ,Weekly Objective -> Weekly Challenge,"Session Description
[Project Topic : Smart, Ethical Marketing in Future Digital Economy (Ads]
Human Services (Grade 8)",,"Learning Material 
Lesson Plan->PPT ->Worksheets-> Teaching Material "
,,"SP11. Design Thinking
SP13. Global Citizenship & Cross-Culture Awareness","MSP11.C2,MSP13.C3,","MSP11.C2/MSP8.C2 - Apply divergent thinking techniques (like rapid brainstorming or ""worst possible idea"" exercises) to generate a high volume of unique, imaginative, and technologically feasible solutions (creativity) based on critical criteria (cost, user feasibility, local context relevance) to select the most promising ideas (critical thinking).
MSP13.C3/MSP3.C3 Shows awareness of global initiatives such as SDG aimed at better social life and participates in age-appropriate civic or community-oriented activities, recognising roles, rights, and responsibilities within a larger social world ",,,,,,,,
,,"

SP17. Design , Emerging Tech [Add-On] - Drone, AR/VR
SP11. Design Thinking

","MSP17.C1,
MSP17.C2,
MSP17.C3, 
MSP11.C3","
MSP17.C1 Applying foundational design principals and concepts to create user friendly solutions (color theory, forms, erganomis)
MSP17.C2 Develop functional prototypes integrating emerging technologies.
MSP17.C3 Applying tech tools to refine solutions based on iterative feedback.
MSP11.C3 - Construct a low-fidelity prototype (a model, sketch, or digital mock-up) of their chosen solution (innovation). Test it with target users, systematically gather and analyze feedback (critical thinking), and make at least one significant revision to their prototype (iteration).",,,"Prototype Development – Teams begin building or designing a prototype or model of their solution using available tools and materials, to demonstrate their knowledge, ideologies and sentivity to surrounding. ",Block Period 2 : Challenge 8,,"Session 11 : Students create and refine a prototype of their marketing solution using design principles and feedback.
1)Teams decide: What format? Poster-Video-Social media ad-Campaign storyboard
2)Students create: Low-fidelity versions: Sketches,Paper models,Digital drafts
3)Teacher introduces: Clarity,Simplicity,Visual hierarchy,User-friendliness
4) Peer review: What works? What is confusing? Is it ethical?
5)Students revise at least one major aspect",,
,,"SP14. Readiness for the Future of Work & Career
SP1.Knowing Self","
MSP14.C3, MSP1.C3","MSP14.C3 Applies simple planning, organisation, and decision-making skills to support effective work, values structured approaches and applies strategies to tackle tasks, coordinate with others and achieve goals and monitor personal progress
MSP1.C3 Reflects on thoughts, emotions, and behaviour with openness to learn about themselves as self reflection in personal growth to evaluates how identity interacts with self understanding and decision making in social and academic contexts",,,"Design Documentation – Students record their design ideas, explain their approach, and plan the next steps in the development process.",Single Period : Reflection ,,"Sssion 12 : tudents document their design process, reflect on their decisions, and plan next steps.
1)Students record digitally/portfolio: Problem statement,Chosen idea,Why they selected it,Key features
2)What worked well?What was challenging?What would I improve?
3)Students define: What to improve,What to complete,Who will do what",,"Ad mockups

Campaign storyboards

Digital posters or videos"
"Week 5 : 

Improve","-Feedback from peers and users 
-Researching on how to imporve idea 
- Applying contemporary knowlesge to upgrade
-Consequences and ethics 
-","SP12. Entrepreneurial Mindset 
SP6. Financial Literacy ","MSP12.C2, MSP12.C3, MSP6.C2, MSP6.C4","MSP12.C2 - Design a simple business/venture model that explains how their idea creates, delivers, and captures value for the users,and community , the resources used, while justifying their idea to a third person based on success criteria and market analysis for comparitive advantage. 
MSP12.C3 -Identify potential risks and uncertainties in their idea and evaluate responsible mitigation strategies and adapts their plan based on feedback, from different stakeholders while considering its potential impact with senstivity about future implications of the ventures they engage with.
MSP6.C2 - Students plan, track, and adjust simple budgets related to projects, prototypes, events, or small ventures, making informed trade-offs between needs, wants, cost, and available resources, distinguishes income, spending, saving, and setting financial priorities and explain their financial decisions, budgets, or pricing logic  
MSP6.C4 - Evaluates basic financial risks and identifies simple protective measures such as savings buffer, insurance principles, fraud awareness, consumer rights, and safe financial behaviour in online and offline context.",,,Prototype Testing – Students test their solutions and observe how effectively they address the identified problem and identify potential risks in their model,Block Period 1 : Challenge 9,"Test their solutions and gather meaningful feedback

Analyze effectiveness and identify gaps or limitations

Refine their ideas based on evidence and feedback

Understand basic value creation and feasibility (cost, resources)

Identify risks and ethical implications of their solutions

Demonstrate adaptability, resilience, and responsibility

Reflect on impact, identity, and decision-making","Session 13 : Students test their solutions, evaluate effectiveness, and identify risks, feasibility, and value creation.
1. Testing Setup :What will we test?What feedback do we need?
Create simple checklist:Is the message clear?Is it ethical?Would users trust it? 
User Testing : Peer testing / cross-team testing,Students present prototypes and observe reactions
Collect: Likes,Confusions,Suggestions
2. Feedback Analysis - Students organize: What worked,What didn’t,Surprising insights
3. Value & Feasibility Thinking - What value does our idea create?,What resources are needed?,Is it practical?
Introduce:Simple venture thinking
4. Risk Identification Students identify:Ethical risks (misleading, bias),Practical risks (cost, reach)",,
,,"SP11. Design Thinking 
SP2. Building Self
SP17. Design , Emerging Tech [Add-On] - Drone, AR/VR","MSP11.C3, MSP2.C3, MSP17.C3","MSP11.C3 - Construct a low-fidelity prototype (a model, sketch, or digital mock-up) of their chosen solution (innovation). Test it with target users, systematically gather and analyze feedback (critical thinking), and make at least one significant revision to their prototype (iteration).
MSP2.C3 Demonstrate constructive coping strategies when facing academic or collaborative pressure
MSP17.C3 Applying tech tools to refine solutions based on iterative feedback.",,,"Iteration & Improvement – Teams analyze feedback, identify limitations, and refine their prototype or design to improve performance.",Block Period 2 : Challenge 10,,"Session 14 :tudents refine their prototypes using feedback, improving effectiveness, usability, and ethical alignment.
1. Feedback to Action - Students convert feedback into:“We need to improve…” statements
2. Prioritization:What changes matter most?
3. Prototype Revision : Redesign visuals,Improve messaging,Fix ethical concerns
4. Reflection on Challenges- Prompt:What was difficult?How did we handle it?
Builds resilience and adaptability",,
,,"SP13. Global Citizenship & Cross-Culture Awareness
SP1. Knowing Self","MSP13.C2,
MSP1.C3","MSP13.C2/MSP3.C2 Demonstrates awareness of how actions affect others locally and globally, showing empathy and responsibility in everyday interactions and begin connecting it to geo-political awareness and global rights
MSP1.C3 Reflects on thoughts, emotions, and behaviour to deepen self-understanding and evaluates how identity interacts with social and academic contexts",,,"Impact & Responsibility Reflection – Students reflect on ethical considerations, sustainability, user experience, and possible consequences of their solution.",Single Period : Reflection ,,"Session 15 : Students reflect on ethical implications, societal impact, and their role as responsible creators.
1. Ethical Reflection : Could our campaign mislead anyone?,Does it respect all users?
2. Impact Mapping: Who benefits,Who might be harmed?,Short-term vs long-term effects
3. Personal Reflection Prompt:What kind of creator do I want to be?,How did my values influence my decisions + Quick reflections across groups",,
"Week 6 : 

Reflect ","-What did I learn from others, and how did I use it?
-What did I do, and how long did it take?
-Connecting with the world of jobs and careers
-Reflecting on your interests and tasks
-What else can I do?
-Presenting to others
-Think and Answer - Assessment Sheet","SP12. Entrepreneurial Mindset 
SP11. Design Thinking 
SP6. Data, Digital, and Media Literacy","MSP12.C2, MSP11.C4, MSP4.C1","MSP12.C2 - Design a simple business/venture model that explains how their idea creates, delivers, and captures value for the users,and community , the resources used, while justifying their idea to a third person based on success criteria and market analysis for comparative advantage. 
MSP11.C4- Demostrate an appreciation for the impact of innovation and design thinking in development and progress of civilization through the ideas suggestion and inspirations taken while developing a a critical lense on its impact and showing senstivity about future implications 
MSP4.C1 -Students select, customize, and apply appropriate digital tools (e.g., spreadsheets, presentation tools, media editing software, data visualization tools) to create multi-modal digital content that communicates ideas, research findings, or project outcomes effectively to a specific audience.",,,"Preparing the Showcase – Students prepare presentations, demonstrations, or visual explanations of their solution and learning journey.",Block Period 1 : Challenge 11 ,"Present their ideas clearly and confidently to an audience
Justify decisions using evidence, feedback, and reasoning
Reflect on their learning journey, strengths, and growth
Learn from peer work and diverse perspectives
Connect their experience to future careers and opportunities
Understand the relationship between effort, value, and responsibility
Identify next steps for further learning or improvement","Session 16 : Students prepare a structured and compelling presentation that communicates their solution, process, and impact.
1. What Makes a Good Pitch? 
What makes a presentation effective?
Structure: Problem → Research → Idea → Impact → Ethics
2. Pitch Planning - Teams create a presentation outline:Problem statement,User insights,Final solution,Improvements made.Value created
3. Storytelling & Visual Design :Design slides / posters / demos
Focus on: Clarity,Visual appeal,Audience engagement
4. Practice & Feedback - Peer practice
Feedback on: Clarity,Confidence,Message
5. Refinement : Teams improve based on feedback",,
,,SP12. Entrepreneurial Mindset ,MSP12.C4,MSP12.C4- Develops a comprehensive pitch of buisness plan and  can present and justify their solution to stakeholders ,,,"Project Presentation / Pitch – Students present their work to peers, teachers, or invited audiences and explain their design decisions and outcomes.",Block Period 2 : Challenge 12,,"Session 17 : Students present their work, explain decisions, and reflect on their learning through interaction with an audience.
1. Presentations team presents: Problem,Solution,Key features,Ethical considerations,Impact
2. Audience Interaction :Why did you choose this idea?,How is it ethical?,What would you improve?
3. Peer Feedback : Students note One strong idea from another team,One learning they gained
4. Quick Self Reflection : How did I feel presenting?,What went well?",,
,,"SP14. Readiness for the Future of Work & Career
SP1. Knowing Self
SP6. Financial Literacy","MSP1.C2, MSP1.C3
MSP14.C2, MSP6.C3","MSP14.C2 Connects personal strengths, interests, emerging aspirations, and preferred ways of working to possible roles, contributions, and future opportunities
MSP1.C2 Explores personal motivations, values, and beliefs, and reflects on how these guide behaviour, choices, and emotional responses
MSP1.C3 Reflects on thoughts, emotions, and behaviour to deepen self-understanding and evaluates how identity interacts with social and academic contexts
MSP6.C3 -Students understand that money represents value created through work, skills, time, and resources, and reflect on fairness, ethics, and responsibility in financial interactions.",,,"Reflection & Future Connections – Students reflect on what they learned, how their ideas evolved, and how the experience connects to real-world problems and future opportunities.",Single Period : Reflection ,,"Session 18 : Students reflect on their journey, connect learning to future pathways, and understand value, effort, and responsibility.
1. Learning Reflection : What did I learn from others?What personal feedback did I get
2. Process Reflection - Students track: What I did,Time taken,Challenges faced
3. Future Connection - Prompt:What roles did I enjoy?,What skills did I use?,What could I do next? What careers do they open up.
4. Value & Responsibility Reflection :How does effort create value?,Was my solution fair and responsible?",,
,,,"MSP6.C1, MSP6.C2",Plug-IN,,,Plug-In,,,,,
